originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
rodman's hollow/jones trail	rodman's hollow	90
jones trail	mohegan trail	67
fresh pond!	fresh pond greenway	90
rodman's hollow: fresh pond trail	rodman's hollow	90
rodman's hollow behind the bench.	rodman's hollow	90
roadman's hollow	rodman's hollow	97
fresh pond area	fresh pond greenway	82
pilot hill rd & spring st	meadow hill	86
greenway/rodman's	andy's way	86
rodmans hollow scenic overlook, searched for 2099 days.	rodman's hollow	86
greenway off of payne road	bi greenway	86
1661 farm	lewis-dickens farm	86
rat island	great salt pond	64
andys way on the beach	'the maze'	86
pilot hill road & mohegan trail	mohegan trail	90
lobster pot christmas tree	harrison loop	46
megan's bluff, next to the 2nd tree on the right.	rodman's hollow	86
inside rusty can, inside hollow tree on beach	rodman's hollow	86
andys way rock wall	andy's way	86
old bluffs overlook	payne overlook	69
meadow hill	meadow hill	100
meadow hill under rock	meadow hill	90
clayhead	clay head trail	79
dorrys pathway	andy's way	58
clayhead trail from corn neck road	clay head trail	86
breed land trail	mohegan trail	62
the maze at clayhead	'the maze'	90
maze	'the maze'	90
nathan mott trail	nathan mott park	79
lobster pot in the maze	'the maze'	90
rodmans hollow trail	mohegan trail	86
clayhead train / the maze	'the maze'	90
nathan mott	nathan mott park	95
nathan mott park	nathan mott park	100
lewis dickens trail	lewis-dickens farm	81
middle pond trail	mohegan trail	60
west beach trail	clay head trail	58
enchanted forest	enchanted forest	100
black rock trail	black rock	90
cooneymus road	andy's way	42
gift	north light	51
martins trail	mohegan trail	69
old mill loop- tree	loffredo loop	55
main trail, crossing conneymus	clay head trail	86
lakeshore drive	new harbor	49
across from fresh pond	sachern pond	86
near north lighthouse	north light	90
dickens trail entrance	mohegan trail	86
hodge family preserve, re-hid at avonlea for a new found friend to find.	hodge family wildlife preserve	86
north side of clayhead trail!	clay head trail	87
win dodge	win dodge	100
payne's greenway	andy's way	86
atwood overlook	payne overlook	69
old mill trail	clay head trail	59
fresh swamp payne farm trail	fresh swamp	90
mansion beach foundation	mansion beach	90
at the base of a bush on lewis dickens farm preserve	lewis-dickens farm	90
inside a log	mansion beach	46
between scotch and mansion beach	mansion beach	90
hodge family wildlife preserve	hodge family wildlife preserve	100
the sacred labyrinth	'the maze'	86
labyrinth	clay head trail	42
rodman's hollow in the grass	rodman's hollow	90
mohegan bluff lookout	mohegan bluffs	86
lofreddo loop	loffredo loop	92
mott property	nathan mott park	48
harrison trail in a tree	clay head trail	86
lewis-dickens farm nature preserve	lewis-dickens farm	90
old pet cemetery	'the maze'	45
trail	clay head trail	90
cannon @ legion park	ocean view pavilion	47
dodge cemetery	win dodge	86
in a tree off of old mill road	beacon hill	47
martin trails	mohegan trail	69
nestled between a piece of driftwood and sea grass at grace's cove	rodman's hollow	86
clay head trail	clay head trail	100
in a tree on turnip farm trail	turnip farm	90
trailhead on greenway near cooneymus	bi greenway	86
old mill loop of nathanial mott park	harrison loop	86
beach ave trail	clay head trail	64
gracies cove, in the bike rack	'the maze'	86
window sill in mystic, ct	meadow hill	58
trail on beach rd	mansion beach	67
visitor center	enchanted forest	45
trim's pond	fresh pond greenway	86
southeast lighthouse fence post	southeast light	90
harrison loop	harrison loop	100
marsh hawk hollow	rodman's hollow	62
old mill loop	loffredo loop	59
great salt pond	great salt pond	100
in tree on black rock rd.	black rock	90
in the park across the across the power company	'the maze'	86
greenway trail near turnip farm	turnip farm	90
fresh pond in stump	sachern pond	86
payne's overlook	payne overlook	95
hodge preserve trail map stand	clay head trail	86
old mill road	hodge family wildlife preserve	53
cannon at legion park	north light	50
hodges	hodge family wildlife preserve	75
fire department	fresh pond greenway	47
path to clayhead trail	mohegan trail	86
hollowed out log on west side beach	mansion beach	86
mohegan bluffs	mohegan bluffs	100
the beach ?	scotch beach	76
beach avenue trail	scotch beach	86
hodge preserve,in a tree	hodge family wildlife preserve	70
mohegan bluffs stairway	mohegan bluffs	90
west beach road	scotch beach	59
golden grove / settlers rock	settler's rock	86
path near scotch beach	scotch beach	90
hodge preserve trailside	hodge family wildlife preserve	74
west beach, 50m north of the fence end in a hoary mugwort plant	north light	86
beach in front of the national	'the maze'	86
dickens trail	lewis-dickens farm	66
southeast lighthouse	southeast light	86
fred benson town beach in the rocks	'the maze'	86
town fountain	mohegan trail	46
clayhead trail	clay head trail	97
south east lighthouse rock	settler's rock	86
indian monument across from hog pen!	nathan mott park	50
found on dinghy beach and rehidden.	mansion beach	86
sea breeze inn	great salt pond	46
legion park in a tree	'the maze'	45
path to andy's way	andy's way	90
new harbor road bridge	new harbor	90
fence in front of hodge family wildlife preserve	hodge family wildlife preserve	90
scotch beach	scotch beach	100
base of the dunes on the beach at end of clayhead trail	clay head trail	87
tree in front of harbor church	new harbor	86
greenaway by peter woods house	bi greenway	70
stone wall ocean ave before depot	ocean view pavilion	86
crescent beach (across from oyster store)	mansion beach	86
dinghy beach	mansion beach	64
andy's way path	andy's way	90
west beach	scotch beach	73
path to scotch beach	scotch beach	90
great salt pond near the channel	great salt pond	90
across the channel from the coast guard station	'the maze'	86
mary macgill store	meadow hill	47
crescent beach between town and scotch	mansion beach	86
path leading to public beach	mansion beach	86
mohegan bluff near overlook	mohegan bluffs	86
rodmans hollow	rodman's hollow	97
pebbly beach	mansion beach	56
greenway trail	bi greenway	80
spring pond area	great salt pond	62
island cemetery, next to a grave	'the maze'	45
vfw park	nathan mott park	86
clayhead trail in tree nook!	clay head trail	86
walkers welcome	settler's rock	41
hodge preserve ,in a tree	hodge family wildlife preserve	70
tree in harrison trail	harrison loop	86
tom's point under bench	rodman's hollow	86
jetty rocks near crescent beach and ferry	mansion beach	86
dinghey beach	mansion beach	62
entrance of path to scotch beach	scotch beach	90
stairs at the beach next to the surf hotsl	'the maze'	86
‘rona orb in the lobster trap tree	'the maze'	86
ocean house	ocean view pavilion	86
elizabeth dickens trail	clay head trail	86
overlook west of southwest light house	north light	86
beginning of bean's point	rodman's hollow	86
inside a log at the point	'the maze'	86
clay head maze	'the maze'	86
between gracies and dory's	rodman's hollow	86
old mill near nathan mottt	nathan mott park	86
grace cove	payne overlook	50
near chef statue, under boat	'the maze'	45
greenway trail near harrison loop	harrison loop	90
dickenson trail	lewis-dickens farm	58
greenway next to beacon hollow farm off beacon hill road	beacon hill	90
turnip trail in a tree	turnip farm	86
cooneymus cove	payne overlook	43
community garden mosaic near ocean view pavilion	ocean view pavilion	90
stonewall on backside of graveyard	black rock	54
middle earth, inside a pile of rocks	black rock	54
meadow hill trail	meadow hill	90
greenway trails, on the back side of a tree, in a hollowed out piece where another limb use to be	fresh pond greenway	86
beach at north light in driftwood	north light	90
stevens cove(location correction)	win dodge	50
john dodge cemetery	win dodge	86
meadow hill trail apple tree	meadow hill	90
tree near horse farm	turnip farm	86
greenway	bi greenway	95
in my bike helmet at scotch beach	scotch beach	90
martin trail	mohegan trail	72
beacon hill trail	beacon hill	90
beacon hill trail / enchanted forest in a tree trunk!	enchanted forest	90
enchanted forest beacon hill	enchanted forest	90
beacon hill and old milll trail	beacon hill	90
fresh swamp trail	fresh swamp	90
o'brien park, little free library box	nathan mott park	86
beach ave	mansion beach	67
ocean pavilion	ocean view pavilion	95
harrison loop in a tree	harrison loop	90
legion way in a tree	andy's way	86
enchanted forest in tree	enchanted forest	90
log wood cove (west side beach between north light and dump))	north light	90
hygeia house side driveway	bi greenway	45
on the floor of our jeep in the parking lot at nathan mott park	nathan mott park	90
center	enchanted forest	60
mansion beach parking area	mansion beach	90
dory's beach	scotch beach	58
grace's cove	great salt pond	52
grace's beach	mansion beach	62
beacon hill rd., trail	beacon hill	90
top of stairs at mohegan bluffs	mohegan bluffs	90
beacon hill greenway	beacon hill	90
greenway trail across from rodman's hollow	rodman's hollow	90
old mill to cooneymus behind rock wall.	settler's rock	86
in shrub near rebeccas restaurant	enchanted forest	45
greenway trail. nathan mott park	nathan mott park	90
old mill	hodge family wildlife preserve	64
north light beach	north light	90
turnip trail	turnip farm	70
beacon hill road greenway	beacon hill	90
loffredo loop on trail to dodge cemetary	loffredo loop	90
solveiken property	sachern pond	40
green way off cooneymus rd. in tall grass	andy's way	86
gaffney trail	mohegan trail	69
greenway south beacon hill	beacon hill	90
enchanted forest old milll rd	enchanted forest	90
loffredo loop, in the tall grass	loffredo loop	90
in a clump of golden rod gaffney trail	clay head trail	86
greenway between old mill road and dodge cemetery	bi greenway	86
turnip farm, loffredo loop in a tree at sunset!	turnip farm	90
mohegan bluffs lookout trail	mohegan bluffs	90
old mill road, in a bush	meadow hill	47
dickens path in tree	lewis-dickens farm	53
in a tree enchanted forest	enchanted forest	90
bottom of broken stairs by overlook	payne overlook	86
long lot trail	mohegan trail	59
dickens farm	lewis-dickens farm	90
andy's way behind a log	andy's way	90
winfield dodge farm	turnip farm	86
end of a fallen tree in the maze	'the maze'	90
dodge cemetery greenway	bi greenway	86
north light	north light	100
gracie cove	payne overlook	48
nathan mott park trail, in large tree	nathan mott park	90
win dodge preserve, with gods blessing	win dodge	90
the maze in a kalmia latifolia	'the maze'	90
enchanted forrest	enchanted forest	97
in notch of trees on hyland trail	clay head trail	86
sandy point	sachern pond	61
trims pond behind stone wall	sachern pond	86
dump beach	mansion beach	64
across from cemetery	settler's rock	45
mansion beach access road	mansion beach	90
ball o'brien park	nathan mott park	48
hodge family preserve	hodge family wildlife preserve	95
trustrum dodge memorial	win dodge	86
andy's way in the grass to the left once on beach	andy's way	90
motts trail: brick wall entrance	clay head trail	86
nathan mott trail in a tree.	clay head trail	86
tree on legion way outside of oark	andy's way	86
near beach ave bridge in water	mansion beach	86
sachem pond	sachern pond	87
walkway to scotch beach	scotch beach	90
andy's way	andy's way	100
clayhead maze	'the maze'	86
long lot trail off corn neck	clay head trail	86
beach entrance at the end of ocean avenue	'the maze'	86
rodman's hollow, in a tree!	rodman's hollow	90
longwood cove	loffredo loop	44
sacred labyrinth	sachern pond	41
north point block island	north light	86
legion park	nathan mott park	50
rodmans hollow, in a tree	rodman's hollow	86
meadow hills	meadow hill	96
pilot hill road	meadow hill	51
mansion beach	mansion beach	100
highland trail	mohegan trail	74
airport diner	new harbor	58
ocean view pavillion in a pile of bricks	ocean view pavilion	86
west side	southeast light	50
beach avenue bridge	scotch beach	86
cannon	mansion beach	60
long lot, the maze	'the maze'	90
fresh pond trail	fresh pond greenway	74
hygeia house yard	'the maze'	43
garden in downtown	win dodge	50
rodman's in a tree above some soiled boxers	rodman's hollow	86
clayhead beach lean-to, under a rock	settler's rock	86
benson beach	mansion beach	80
the maze in a pine tree	'the maze'	90
the maze in a tree	'the maze'	90
on private trail headed to clayhead trail	clay head trail	87
maze/ clayhead	'the maze'	86
inside tree. long lott trail	clay head trail	86
trail leading into maze	clay head trail	86
island cemetery	hodge family wildlife preserve	45
long lot trail @ mazewe were	clay head trail	86
long lot trail in a tree	clay head trail	86
long trail pond	clay head trail	57
old mill greenway	bi greenway	86
dorry's cove entryway	settler's rock	86
somewhere in the maze...	'the maze'	90
public beach access	scotch beach	86
dorry's cove grass	andy's way	86
in driftwood at dorrie's cove	rodman's hollow	86
dorrie's cove	enchanted forest	46
rock wall in the maze	'the maze'	90
dorry's cove	andy's way	45
trail running from connecticut ave to middle of old town road	clay head trail	86
long lot path in a stone wall	harrison loop	46
lewis dickens preserve	lewis-dickens farm	80
dory's cove	andy's way	48
win dodge preserve behind tree in leaves	win dodge	90
between graces cove and dories cove	enchanted forest	50
dories cove beach	scotch beach	62
a kind local	great salt pond	49
south of beach at dorrys cove	mansion beach	86
path to baby beach	scotch beach	86
between winn dodge and lewis dickens preserve in a tree stump	hodge family wildlife preserve	86
win dodge preserve trail	win dodge	90
win dodge foundation trail under a tree in the brush	win dodge	90
the maze on clay head trail	clay head trail	90
clay head trail in the maze, in tree	clay head trail	90
lewis trail off cooneymus	clay head trail	86
red bird parking lot	harrison loop	52
maze, in a tree	'the maze'	86
dorry's cove, next to a rock	rodman's hollow	86
long lots trail/clayhead trail	clay head trail	87
behind a rock on clayhead trail	clay head trail	87
dories cove	enchanted forest	49
turnip trail between some rocks	clay head trail	86
rodman's hollow / on trail to old mill road	rodman's hollow	90
beach near crescent beach cottages, between scotch and mansion. we re-hid it.	mansion beach	86
scotch beach near crescent beach cottages	scotch beach	90
mohegan bluffe	mohegan bluffs	93
mohegan bluff	mohegan bluffs	96
green gables	bi greenway	58
hanted forest	enchanted forest	90
graces cove	hodge family wildlife preserve	48
mansion beach entrance walkway	mansion beach	90
martins lot	harrison loop	58
under a canon near rustic rides	mansion beach	49
new loop at clay head trail in a tree	clay head trail	90
clay head trail at maze entrance trail marker	clay head trail	90
cooneymus	payne overlook	38
north light house beach, under/ behind a log	north light	90
trail to beach at the end of black rock rd	black rock	90
payne farm trail	payne farm trail	100
rock wall leading to greenway near rodman's hollow on cooneymus rd.	rodman's hollow	90
coast guard beach	scotch beach	62
lewis dickens farm trail	lewis-dickens farm	95
grace's cove, under a rock cairn	rodman's hollow	86
nathan motts sign	nathan mott park	73
300 yards into greenway trail off beacon hill	beacon hill	90
rodmans hollow/jones trail	rodman's hollow	86
pilot hill road pond	sachern pond	86
mohegan trail walking path	mohegan trail	90
bench near old mill marker	meadow hill	55
stone wall at andy's way	andy's way	90
wind dodge cemetery	win dodge	86
southwest point beach	mansion beach	86
beacon hill rd greenway	beacon hill	90
nathan mott park (behind a rock in crevice)	nathan mott park	90
new trail off carey lot	clay head trail	86
rodman's hollow rock wall y	rodman's hollow	90
walkers welcome -in tree	bi greenway	55
payne road greenway	bi greenway	86
clay head	clay head trail	90
lewis dickens farm	lewis-dickens farm	100
hyland trail in drain pipe	clay head trail	86
andy's way beach	andy's way	90
long lot trail- stone wall	clay head trail	86
martin lot	harrison loop	61
hollow	rodman's hollow	90
west side beach under logs	mansion beach	86
in a log on the beach near the northern lighthouse	'the maze'	86
the point	sachern pond	57
west end beach, cuttyhunk island, ma	mansion beach	86
under a piece of driftwood at the poiny	'the maze'	86
rodman hallow	rodman's hollow	86
state beach, in an overturned lifeguard chair	mansion beach	86
rodman's hollow bluffs lookout	rodman's hollow	90
end of elizabeth dickens trail	clay head trail	86
walkers way	andy's way	57
cooneymus road -thru turns stile	settler's rock	49
rock wall in middle earth	settler's rock	86
beane point	beacon hill	55
greenway trail, uphill trail off of beacon hill rd.	beacon hill	90
mohican bluff	mohegan bluffs	81
found between old mill road trail on way to cemetery etary in a tree	clay head trail	86
north lighthouse	north light	81
dingy dock	win dodge	53
clay head trail (pumpkin)	clay head trail	90
between mansion and scotch buried in sand (pumpkin)	mansion beach	86
pettit lot	great salt pond	45
indian cemetery	nathan mott park	45
greenway lakeside drive	bi greenway	86
bluffs	mohegan bluffs	90
attwood overlook	payne overlook	69
trail across from smiling through	clay head trail	86
grace's cove beach	andy's way	86
nathan mott park/ loredo loop	nathan mott park	90
end of hyland trail	clay head trail	59
clayhead green trail	mohegan trail	86
dingy beach	mansion beach	67
inside the cannon!	'the maze'	86
end of coast guard beach under a log in a fort	mansion beach	86
harrison loop trail between island cemetery and beacon hill rd	harrison loop	90
jim gaffney walk by fresh pond	sachern pond	86
coastguard beach	scotch beach	64
the maze (north of clay head trail) in a hollowed tree limb	clay head trail	90
west beach in a tire	mansion beach	86
dorrys cove	enchanted forest	42
rodman's hollow behind a trail sign	rodman's hollow	90
on beach behind dump in weeds	mansion beach	86
park across from block island power	nathan mott park	86
sandy point , block island	sachern pond	52
american legion memorial pole	mansion beach	49
vaill beach trail	clay head trail	62
in plants at esta's park	rodman's hollow	86
bird bath on trail behind claveras	clay head trail	86
magellan's tree	andy's way	86
black rock trails	black rock	90
end of win dodge in stone wall heading out to dickens farm road	win dodge	90
walking path	mansion beach	48
rodman hollow near black rock path	black rock	90
jones trail rodman's hollow	rodman's hollow	90
fresh pond reserve	sachern pond	86
rothman's hollow	rodman's hollow	90
trail off west side rd., heading into rodman's hollow	rodman's hollow	90
rodman's hallow	rodman's hollow	93
fresh pond greenway	fresh pond greenway	100
rodman's hollow, at intersection of coastal trail	rodman's hollow	90
black rock bluff	black rock	90
jones trail in rodman's hollow	rodman's hollow	90
fresh pond greenway in depression in tree	fresh pond greenway	90
rodman hallows	rodman's hollow	86
rodman's hollow short loop at the base of a tree	rodman's hollow	90
south east beach	scotch beach	71
n end of fresh pond	sachern pond	86
rodman hollow-jones trail	rodman's hollow	86
rock wall rodman's hollow	rodman's hollow	90
rodman hollow	rodman's hollow	95
between vail beach and mohegan bluffs in the seaweed	mohegan bluffs	90
indian cemetary	nathan mott park	52
transfer station beach	mansion beach	86
northlight house beach	mansion beach	86
fred benson beach	mansion beach	67
path off ocean ave.	'the maze'	48
site of the spring street pump house plaque	'the maze'	86
solvieken dog water fountain	win dodge	50
mohegan trail/pilot hill intersection in a tree	mohegan trail	90
esta's park	nathan mott park	59
beach at transfer station	mansion beach	86
west side beach	scotch beach	59
near beach	mansion beach	64
rodman's hollow trailhead	rodman's hollow	90
corn neck rd in yellow moss rock wall next	settler's rock	86
martins trail rock wall	settler's rock	86
in wall at hodge preserve	hodge family wildlife preserve	72
fresh pond rock wall	sachern pond	86
gracies cove	payne overlook	46
inside cannon at cemetery on west side rd	mansion beach	46
martin lots in stonewall	win dodge	50
indian grave yard	win dodge	50
martin's lot. in wall at ground level	rodman's hollow	86
trails off connecticut ave	mohegan trail	46
haunted trail	mohegan trail	69
drift wood coast guard beach	mansion beach	86
square stone wall off of cooneymus	loffredo loop	56
grass coast guard beach	mansion beach	86
592 old mill road trail	clay head trail	86
meadow hill greenway	meadow hill	90
square stone wall in greenway off cooneymus rd	bi greenway	86
win dodge, in tree by trail sign	win dodge	90
winfield dodge foundation	win dodge	86
greenway trail off of beacon hill rd	beacon hill	90
access path to scotch beach	scotch beach	90
sacred labrynth	andy's way	43
old mill in a rock pile	settler's rock	86
beach	mansion beach	90
behind a post on 2nd beach path north of fred benson beach	north light	86
inside muffler at beach on west beach rd	mansion beach	86
entrance to payne farm trail	payne farm trail	90
black rock	black rock	100
on beach to the left off path from andy's way	andy's way	90
the vale, bi	'the maze'	86
a few miles off the bluffs, on the beach	mohegan bluffs	86
grass diamond by second bluffs off pilot hill.	mohegan bluffs	86
foundation off of cooneymus rd.	harrison loop	49
2nd cliff path	'the maze'	43
near lewis-dickens farm sign	lewis-dickens farm	90
in pile of rocks at entry to dickens road trail	clay head trail	86
dory cove beach	scotch beach	59
near the statue of hebe (cupbearer to the gods at mount olympus)	'the maze'	86
comings greenway	bi greenway	80
rebecca statue	settler's rock	48
win dodge preserve (in rock wall near foundation)	win dodge	90
clay head trails	clay head trail	97
win dodge in the wall	win dodge	90
dorries cove	enchanted forest	48
school	rodman's hollow	60
win dodge presv.	win dodge	90
pots and kettles	settler's rock	47
swamp/ we love you	fresh swamp	86
wedged in dune fencing at edge of second mohegan bluffs	mohegan bluffs	90
mosquito beach	scotch beach	62
north end clay head red trail	north light	86
beach at the end of clayhead trail	clay head trail	87
brick chimney on west beach	mansion beach	86
west beach, northern section	mansion beach	86
in stone wall on greenway off beacon hill rd.	beacon hill	90
marsh trail off beacon hill road	beacon hill	90
green hill beach ri	scotch beach	86
enchanted forest/old mill behind a tree	enchanted forest	90
near dinghy beach	mansion beach	60
in a tree stump on nathan mottt trail	clay head trail	86
hidden on a support beam of a gazebo	'the maze'	53
crescent beach access- north of benson	north light	86
ballard's beach jetty	settler's rock	86
enchanted forest (near beacon hill trail in hollowed out tree trunk)	enchanted forest	90
beacon hill	beacon hill	100
mohegan bluffs overlook behind bike rack	mohegan bluffs	90
hyland trail deadend	mohegan trail	86
state beach	scotch beach	70
old mill road path	sachern pond	43
meadow hill greenway trail	meadow hill	90
ocean ave across the street from the power station in the small park in a tree.	nathan mott park	86
wrack line, cow cove	new harbor	45
turnip farm parking lot puddle	turnip farm	90
painted rock	payne overlook	62
dickens preserve	hodge family wildlife preserve	86
block island historical society	andy's way	45
dingy beach in great salt pond	great salt pond	90
rodman's hollow by loop trail	rodman's hollow	90
green way trail	andy's way	86
long lot connector to clayhead trail	clay head trail	87
kings lot	southeast light	48
path of old hotel	payne overlook	49
our bike helmet at the fresh swamp trail- someone so kind left it for us!!!so	fresh swamp	90
in a tree on a walking path off beach avenue	mansion beach	86
sunfish at andy's way	andy's way	90
turnip farm trail off of old mill road	turnip farm	90
vail beach	mansion beach	70
greenway off of cooneymas	bi greenway	86
greenway in a rock wall where you have to step over to cross into next area	settler's rock	86
neptune house bush by flag pole	new harbor	45
rodman's hollow, in a tree	rodman's hollow	90
greenway trail between beacon hill rd. & old mill rd.	beacon hill	90
in town	sachern pond	51
jones trail, rodman's hollow	rodman's hollow	90
mohegan bluffs stairs	mohegan bluffs	90
2nd bluffs near railing	mohegan bluffs	86
circle of rocks on mansion beach	mansion beach	90
west beach in a chimney	mansion beach	86
dodge farm	lewis-dickens farm	86
grace's cove on top of the fort	rodman's hollow	86
harrison trail	harrison loop	74
mohegan stairs	mohegan trail	81
second bluffs trail	mohegan bluffs	57
across from doc willis' farm	turnip farm	86
middle earth	mansion beach	48
the greenway off of beacon hill road	beacon hill	90
cooneymus beach next to waterfall	mansion beach	86
site of old mill and the sands' land (across from town hall)	'the maze'	86
old mill rd greenway	bi greenway	86
in water hogpen new harbor	new harbor	90
hodge preserve pond	sachern pond	86
dicken's point	sachern pond	54
crook of tree at mitchell farm	turnip farm	86
drift wood tipi near north light	north light	90
rodman's hollow black rock beach overlook	rodman's hollow	90
murphy's trail	mohegan trail	59
sign at southeast lighthouse	southeast light	90
bike rack across from baby beach	mansion beach	86
water street park bench across from peppered cat	nathan mott park	86
high street stone wall	great salt pond	49
rock wall near block island school	settler's rock	86
john e pond	fresh pond greenway	86
island cemetary	andy's way	48
near harborside inn	new harbor	72
wwi memorial	meadow hill	43
memorial bench in old harbor	new harbor	86
playground book box	payne overlook	46
jetty beach, below spring house	mansion beach	86
marsh trail off beacon hill	beacon hill	90
in tree on clayhead trail	clay head trail	87
dorry's cove, under seas grass and sticks	rodman's hollow	86
behind the surf restaurant	'the maze'	86
second bluffs	mohegan bluffs	67
fresh pond behind a tree	sachern pond	86
peckham farm road	turnip farm	86
north light upper path	north light	90
jane lane	payne overlook	50
off payne's rd trail	andy's way	86
nathan mott park in hollowed out log	nathan mott park	90
win dodge rock wall	win dodge	90
behind rocks on harrison trail before middle earth	clay head trail	86
fresh pond preserve greenway	fresh pond greenway	95
fresh pond canoe launch at waters bank in grass	sachern pond	86
stone wall near beachead picnic area	sachern pond	52
greenway by fresh pond	fresh pond greenway	95
“ball o brian” beach by gsp	mansion beach	86
old mill rd trail under a bridge	clay head trail	86
ball o'brien: in the leaves on the ground on the trail to the right	clay head trail	86
dickens point	lewis-dickens farm	66
playground	fresh pond greenway	45
jim gaffney trail	mohegan trail	67
hyland trail under tree near a stone wall covered with branches	clay head trail	86
hyland trail in a tree	mohegan trail	86
loffredo loop...in the branches of the big beautiful tree :)	loffredo loop	90
behind rock wall on the maze trail	'the maze'	90
rodman's hollow stuck in a tree on the rough road	rodman's hollow	90
the maze, behind a small tree	'the maze'	90
nathan mott park on 7/29	nathan mott park	90
hodge family wildlife reserve (in a tree)	hodge family wildlife preserve	83
the maze, in a rock wall	'the maze'	90
rodman jollow	rodman's hollow	86
the maze, in a giant rhododendron bush	'the maze'	90
fred benson town beach	mansion beach	86
marsh hollow	rodman's hollow	74
kids beach	mansion beach	64
andies way	andy's way	80
by the water bottle refill station on corn neck road	'the maze'	86
nathan mott park (big tree)	nathan mott park	90
the enchanted forrest, high up in a tree	enchanted forest	86
hodge	hodge family wildlife preserve	90
the cannon	'the maze'	56
spring street gallery	'the maze'	45
logwood cove- in a log	win dodge	53
gafney trail	mohegan trail	72
on the beach at the north lighthouse	north light	90
meadow greenway	bi greenway	80
fred benson snack bar	black rock	53
dunn bridge	win dodge	50
baby beach	mansion beach	64
short trail off of mohegan trail	mohegan trail	90
enchanted forest behind a rock wall	enchanted forest	90
turnip farm behind small road sign at an intersection	turnip farm	90
scotch beach- last beach access	scotch beach	90
ball o'brien park tennis courts	nathan mott park	86
2018 bi triathalon last beach access near a log had to dig will be re-hidden	mansion beach	86
fred j benson beach building behind a piling	mansion beach	86
the hyland trail	'the maze'	86
murphy trail	mohegan trail	64
west of north light	north light	90
bluffs, under some rocks	mohegan bluffs	86
fresh swamp trail- in tree branches	fresh swamp	90
site of ocean view hotel under wooden boardwalk.	ocean view pavilion	86
inlet beach of salt pond	sachern pond	86
john r. dodge cemetery	win dodge	86
dorys cove in a lobster trap	win dodge	48
none given	fresh pond greenway	54
tree by fresh pond	sachern pond	86
locker room chamber of commerce	black rock	54
carey lot by the bear (??)	'the maze'	86
behind mohegan bluff monument stone	mohegan bluffs	86
visitor center atm	'the maze'	48
path to dodge cemetary in a tree	win dodge	86
clayhead trail head information center	clay head trail	86
in a bush in the little park near the ferry dock	'the maze'	86
in a tree at the ocean view foundation	'the maze'	86
path in front of water street inn	bi greenway	47
settlers rock	settler's rock	96
harrison trail in tree near west side rd	clay head trail	86
haunted forest	enchanted forest	87
crescent beach walkover	mansion beach	86
mohegan bluffs under bench	mohegan bluffs	90
carey lot	'the maze'	45
pilot hill	meadow hill	57
base of stonewall by bonnell beach sign	mansion beach	86
outside beachhead	scotch beach	55
hodge preserve	hodge family wildlife preserve	86
mohegan bluff sign	mohegan bluffs	88
southwest point	southeast light	73
in grass behind the turnip farm sign	turnip farm	90
greenway path off of old mill rd	bi greenway	86
in tree off airport trail	clay head trail	86
in a tree trunk	bi greenway	46
rodman's holkow	rodman's hollow	93
