originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
at the labyrinth behind the painted rock in the sculpture garden. it was a rainy day.	black rock beach	86
near the pavilion	the maze	86
cannon base	cannon at legion park	86
fence line at strings and things	cannon at legion park	86
ocean ave	ocean view pavilion	86
pebble beach	block island state beach	86
playground at the school	the maze	86
stone wall in the old graveyard on corn neck rd	corn neck road	86
park near ferry boat dock	legion park	86
negus park	ball o' brien park	86
tree downtown off water street	spring street	86
in a tree habor church park	ball o' brien park	86
black rock parking lot	long lot trail	86
maze near laphams	the maze	86
in the stone wall along corn neck rd	corn neck road	86
surf hotel beach	baby beach	86
the daffodils	the maze	86
dinkel mazzur cemetery	dodge cemetery	86
under bridge on clayhead	dunn's bridge	86
bi bicycle tour qr #4	bi greenway	86
flower trail	elizabeth dickens trail	86
dickens farm trail	hyland trail	86
dickens rd under metal ring	dickens point	86
hodges nature preserve	hodge preserve	86
crabapple tree in front of harbor church	new harbor	86
overlook path off mohegan trial	attwood overlook	86
black sand trail	mott trail	86
legion hall cannon (took an hour to get out)	cannon at legion park	86
skate park	ball o' brien park	86
block island graveyard tree	island cemetery	86
bach trail	clay head trail	86
wind dodge reserve	win dodge	86
"dodge family preserve, stone foundation"	dodge cemetery	86
north dump beach	baby beach	86
near beach head	baby beach	86
in the canon	the maze	86
rock wall off lakeside drive.	black rock beach	86
walkway @ the bluffs	the maze	86
in the flower garden across the street from the national	spring street	86
geocaching at mansion in rock statue	black rock beach	86
cemetary next to the big tomb	the maze	86
robin hollow in meadow	meadow hill	86
hodge wildlife reserve	hodge preserve	86
clayhead and then catch and released on black rock	black rock beach	86
winfield preserve	hodge family wildlife preserve	86
rocks by the boat dock	the maze	86
legion hall cannon	legion park	86
rodman's trails	andy's way	86
loffredo preserve on top of birdhouse	hodge preserve	86
darius inn in the creeping hydrangea	the maze	86
block island club	block island chamber of commerce	86
fresh water preserve	fresh pond	86
center st. cemetery against a tombstone	dodge cemetery	86
overlook trail	elizabeth dickens trail	86
back seat of truck	block island chamber of commerce	86
center st. cemetery foot of tombstone	dodge cemetery	86
hodge entrance	hodge family wildlife preserve	86
american legion post 36	legion park	86
"bi nat. wildlife refuge, near labyrinth"	bi greenway	86
driftwood log at the entrance to ocean view	cannon at legion park	86
the legion hall cannon	legion park	86
clayhead trails off the main path	the maze	86
rodmans hollow stone wall	rodman hollow	86
mohegan bluff overlook	mohegan bluffs	86
end of dump road	block island chamber of commerce	86
enchanted forrest in a hollow tree	enchanted forest	86
bench at the tranfer station	the maze	86
salt water pond	fresh pond	86
inside giant drift tree on coast guard jeti	coast guard beach	86
beach ave trails	baby beach	86
town cemetery	fred benson town beach	86
path off old mill rd	old mill road	86
emily dickens	elizabeth dickens trail	86
lewis dickson reserve	lewis point	86
lewis dickens reserve sign in box	dickens point	86
emily dickens trail	hyland trail	86
coneymus ed in the wall	the maze	86
beach access path	baby beach	86
"coast guard cut, block island"	coast guard beach	86
ocean view foundation pavilion in a tree	ocean view pavilion	86
2nd bluffs path in tree	mohegan bluffs	86
old town road	fred benson town beach	86
motts park	ball o' brien park	86
trail off payne rd	hyland trail	86
cemetery- up in a tree!	dodge cemetery	86
negus park in a tree	legion park	86
trims pond trail	fresh pond	86
the indian cemetery momument	dodge cemetery	86
black rock in a lobster pot	black rock beach	86
"romans hollow, hidden in a bush!"	marsh hawk hollow	86
in hole of mantassean monumnet	snake hole road	86
mott farm trail	elizabeth dickens trail	86
in a hollow log on cooneymus	cooneymus beach	86
trail off payne rd.	hyland trail	86
the block island ferry boat	island cemetery	86
field off west side rd	west beach	86
sign at paynes overlook	payne overlook	86
green way off old mill rd	andy's way	86
trail to maze	elizabeth dickens trail	86
near farm	abrams animal farm	86
graces beach	block island state beach	86
old millard trail	mott trail	86
stairs on moghan bluffs	mohegan bluffs	86
the labyrinth	the maze	86
winfield dodge stonewall	dodge cemetery	86
ocean view on a memorial stone with compass setting.	ocean view pavilion	86
steps going down to moghean bluffs	mohegan bluffs	86
"clayhead, begining of the path in a fallen log"	the maze	86
boat basin beach	baby beach	86
end of mohegan bluff stairs in rock pile	black rock beach	86
black rock overlook in a stump	attwood overlook	86
on the bluffs at clayhead	mohegan bluffs	86
mohegian bluff overlook	payne overlook	86
graces cove pond	cow cove	86
way up in a tree	andy's way	86
the unenchanted forest	the maze	86
north side of clayhead trail!	clay head trail	87
base of the dunes on the beach at end of clayhead trail	clay head trail	87
gracie cove	grace's cove	87
on private trail headed to clayhead trail	clay head trail	87
long lots trail/clayhead trail	clay head trail	87
behind a rock on clayhead trail	clay head trail	87
beach at the end of clayhead trail	clay head trail	87
long lot connector to clayhead trail	clay head trail	87
in tree on clayhead trail	clay head trail	87
haunted forest	enchanted forest	87
driftwood near jetty at charleston beach	charlestown beach	87
in a tree along clayhead trail	clay head trail	87
roiles harbor beach off clayhead trail	clay head trail	87
under bridge on clayhead trail	clay head trail	87
in a rock wall on clayhead trail	clay head trail	87
in a tree stump on clayhead trail	clay head trail	87
on the beach off of clayhead trail	clay head trail	87
stone wall along clayhead trail	clay head trail	87
in a stonewall on a side trail in rodmans hollow	rodman's hollow	87
dinghey beach	dinhgy beach	88
dorrie's cove	dorry's cove	88
mohegan bluff sign	mohegan bluffs	88
barlow's pt.	barlow's point	88
artin's trail	martin trail	88
clay head trailside	clay head trail	88
rodman hallows	rodman hollow	89
clayhead trl	clay head trail	89
freeway trail	greenway trail	89
greenway across from rodman's at bench overlook	greenway	90
on a rock in the water off of spring street	spring street	90
greenway trail entrance lakeside druve	greenway	90
win dodge preserve	win dodge	90
clay head trail. in between a tree.	clay head trail	90
greenway trail on lakeside dr.	greenway	90
mohegan bluffs overlook	mohegan bluffs	90
greenway near bench	greenway	90
the maze behind stone wall!	the maze	90
the greenway between old mill road and cooneymus road in a wall behind a rock.	old mill road	90
greenway trail off beacon hill	beacon hill	90
"tree, near enchanted forest"	enchanted forest	90
rock wall off of fresh pond trail	fresh pond	90
on the hiking path near little sachem pond	sachem pond	90
near fresh pond in long stone wall adjacent to field	fresh pond	90
greenaway trail behind stone wall	greenaway	90
long lots/the maze	the maze	90
fresh pond behind wall at base of tree	fresh pond	90
beach across from beachhead (maybe baby beach)	baby beach	90
greenway north of beacon hill	beacon hill	90
side of trail on fresh pond trail	fresh pond	90
rock wall near fresh pond	fresh pond	90
fresh pond in grass	fresh pond	90
rodman's hollow-on the side of the jones trail	rodman's hollow	90
rodman's hollow in a tree	rodman's hollow	90
fresh pond preserve	fresh pond	90
rodman's hollow short loop	rodman's hollow	90
rodman hollow side of trail	rodman hollow	90
"rodman's hollow, near peckham farm"	rodman's hollow	90
entrance to rodman's hollow from fresh pond	fresh pond	90
fresh pond trail heading to rodman's hollow in a grouping of stones	fresh pond	90
rodman's hollow/jones trail	rodman's hollow	90
in the center of a tree on the greenway trail	greenway	90
rodman's hollow: fresh pond trail	fresh pond	90
rodman's hollow behind the bench.	rodman's hollow	90
fresh pond area	fresh pond	90
greenway/rodman's	greenway	90
pilot hill road & mohegan trail	mohegan trail	90
long lot trail @ long lot pond	long lot trail	90
meadow hill under rock	meadow hill	90
clayhead trail from corn neck road	corn neck road	90
the maze at clayhead	the maze	90
maze	the maze	90
nathan mott trail	mott trail	90
lobster pot in the maze	the maze	90
clayhead train / the maze	the maze	90
west beach trail	west beach	90
across from fresh pond	fresh pond	90
near north lighthouse	north light	90
payne's greenway	greenway	90
near the entrance of the fresh pond trail	fresh pond	90
fresh swamp payne farm trail	fresh swamp	90
mansion beach foundation	mansion beach	90
at the base of a bush on lewis dickens farm preserve	lewis-dickens farm	90
between scotch and mansion beach	mansion beach	90
"hodge preserve, in the bushes in circle part of trail"	hodge preserve	90
labyrinth	sacred labyrinth	90
rodman's hollow in the grass	rodman's hollow	90
harrison trail in a tree	harrison trail	90
lewis-dickens farm nature preserve	lewis-dickens farm	90
in a tree off of old mill road	old mill road	90
nestled between a piece of driftwood and sea grass at grace's cove	grace's cove	90
in a tree on turnip farm trail	turnip farm	90
trailhead on greenway near cooneymus	greenway	90
southeast lighthouse fence post	southeast light	90
greenway trail near turnip farm	greenway	90
fresh pond in stump	fresh pond	90
hodge preserve trail map stand	hodge preserve	90
beach avenue trail	beach avenue	90
"hodge preserve,in a tree"	hodge preserve	90
mohegan bluffs stairway	mohegan bluffs	90
west beach road	west beach	90
path near scotch beach	scotch beach	90
hodge preserve trailside	hodge preserve	90
"west beach, 50m north of the fence end in a hoary mugwort plant"	west beach	90
dickens trail	elizabeth dickens trail	90
fred benson town beach in the rocks	fred benson town beach	90
legion park in a tree	legion park	90
path to andy's way	andy's way	90
new harbor road bridge	new harbor	90
fence in front of hodge family wildlife preserve	hodge family wildlife preserve	90
greenaway by peter woods house	greenaway	90
crescent beach (across from oyster store)	crescent beach	90
andy's way path	andy's way	90
path to scotch beach	scotch beach	90
great salt pond near the channel	great salt pond	90
across the channel from the coast guard station	coast guard station	90
crescent beach between town and scotch	crescent beach	90
"island cemetery, next to a grave"	island cemetery	90
south side of center road on greenway trail	greenway	90
"hodge preserve ,in a tree"	hodge preserve	90
tree in harrison trail	harrison trail	90
tom's point under bench	tom's point	90
jetty rocks near crescent beach and ferry	crescent beach	90
entrance of path to scotch beach	scotch beach	90
the rona! harrison trail	harrison trail	90
sachem pond/ hodge family preserve rock wall	sachem pond	90
greenway trail near harrison loop	greenway	90
greenway next to beacon hollow farm off beacon hill road	beacon hill	90
community garden mosaic near ocean view pavilion	ocean view pavilion	90
"middle earth, inside a pile of rocks"	middle earth	90
in a tree. greenway trail that runs from payne to lakeside	greenway	90
meadow hill trail	meadow hill	90
"greenway trails, on the back side of a tree, in a hollowed out piece where another limb use to be"	greenway trail	90
beach at north light in driftwood	north light	90
small section of greenway trail off payne road.	greenway	90
meadow hill trail apple tree	meadow hill	90
in my bike helmet at scotch beach	scotch beach	90
beacon hill trail	beacon hill	90
beacon hill trail / enchanted forest in a tree trunk!	beacon hill	90
enchanted forest beacon hill	beacon hill	90
in between rocks at entrance to greenway trail	greenway	90
beacon hill and old milll trail	beacon hill	90
fresh swamp trail	fresh swamp	90
"o'brien park, little free library box"	library	90
harrison loop in a tree	harrison loop	90
enchanted forest in tree	enchanted forest	90
log wood cove (west side beach between north light and dump))	north light	90
rodman hollow/old mill trail in a rock wall	rodman hollow	90
on the floor of our jeep in the parking lot at nathan mott park	nathan mott park	90
center	visitor center	90
mansion beach parking area	mansion beach	90
"beacon hill rd., trail"	beacon hill	90
top of stairs at mohegan bluffs	mohegan bluffs	90
beacon hill greenway	beacon hill	90
greenway trail across from rodman's hollow	greenway	90
greenway trail off payne rd.	greenway	90
greenway trail. nathan mott park	greenway	90
old mill	old mill road	90
north light beach	north light	90
beacon hill road greenway	beacon hill	90
loffredo loop on trail to dodge cemetary	loffredo loop	90
greenway south beacon hill	beacon hill	90
enchanted forest old milll rd	enchanted forest	90
"loffredo loop, in the tall grass"	loffredo loop	90
in a clump of golden rod gaffney trail	gaffney trail	90
greenway between old mill road and dodge cemetery	dodge cemetery	90
"turnip farm, loffredo loop in a tree at sunset!"	loffredo loop	90
mohegan bluffs lookout trail	mohegan bluffs	90
"old mill road, in a bush"	old mill road	90
in a tree enchanted forest	enchanted forest	90
dickens farm	lewis-dickens farm	90
andy's way behind a log	andy's way	90
end of a fallen tree in the maze	the maze	90
dodge cemetery greenway	dodge cemetery	90
"nathan mott park trail, in large tree"	nathan mott park	90
"win dodge preserve, with gods blessing"	win dodge	90
the maze in a kalmia latifolia	the maze	90
in notch of trees on hyland trail	hyland trail	90
mansion beach access road	mansion beach	90
andy's way in the grass to the left once on beach	andy's way	90
nathan mott trail in a tree.	mott trail	90
walkway to scotch beach	scotch beach	90
long lot trail off corn neck	long lot trail	90
"rodman's hollow, in a tree!"	rodman's hollow	90
airport diner	airport	90
beach avenue bridge	beach avenue	90
cannon	cannon at legion park	90
"long lot, the maze"	the maze	90
fresh pond trail	fresh pond	90
"greenway off cooneymus rd, magellan's tree trail"	greenway	90
the maze in a pine tree	the maze	90
the maze in a tree	the maze	90
long lot trail @ mazewe were	long lot trail	90
long lot trail in a tree	long lot trail	90
old mill greenway	greenway	90
dorry's cove entryway	dorry's cove	90
somewhere in the maze...	the maze	90
dorry's cove grass	dorry's cove	90
rock wall in the maze	the maze	90
win dodge preserve behind tree in leaves	win dodge	90
path to baby beach	baby beach	90
win dodge preserve trail	win dodge	90
win dodge foundation trail under a tree in the brush	win dodge	90
the maze on clay head trail	clay head trail	90
"clay head trail in the maze, in tree"	clay head trail	90
"dorry's cove, next to a rock"	dorry's cove	90
rodman's hollow / on trail to old mill road	old mill road	90
"beach near crescent beach cottages, between scotch and mansion. we re-hid it."	crescent beach	90
scotch beach near crescent beach cottages	crescent beach	90
hanted forest	enchanted forest	90
mansion beach entrance walkway	mansion beach	90
new loop at clay head trail in a tree	clay head trail	90
clay head trail at maze entrance trail marker	clay head trail	90
cooneymus	cooneymus beach	90
"north light house beach, under/ behind a log"	north light	90
greenway trail across from fresh pond	fresh pond	90
entangled in fishermen's nets and rope on ballard's beach	ballard's beach	90
rock wall leading to greenway near rodman's hollow on cooneymus rd.	rodman's hollow	90
"grace's cove, under a rock cairn"	grace's cove	90
turn left on the hill on the mott trail.	mott trail	90
300 yards into greenway trail off beacon hill	beacon hill	90
mohegan trail walking path	mohegan trail	90
stone wall at andy's way	andy's way	90
beach avenue trail in a rock wall just off the trail	beach avenue	90
beacon hill rd greenway	beacon hill	90
nathan mott park (behind a rock in crevice)	nathan mott park	90
rodman's hollow rock wall y	rodman's hollow	90
clay head	clay head trail	90
hyland trail in drain pipe	hyland trail	90
andy's way beach	andy's way	90
long lot trail- stone wall	long lot trail	90
hollow	marsh hawk hollow	90
rodman's hollow bluffs lookout	rodman's hollow	90
rock wall in middle earth	middle earth	90
"greenway trail, uphill trail off of beacon hill rd."	beacon hill	90
found between old mill road trail on way to cemetery etary in a tree	old mill road	90
on the back side of stone wall at fresh pond (pumpkin float!)	fresh pond	90
clay head trail (pumpkin)	clay head trail	90
greenway lakeside drive	greenway	90
bluffs	mohegan bluffs	90
grace's cove beach	grace's cove	90
nathan mott park/ loredo loop	nathan mott park	90
end of hyland trail	hyland trail	90
end of coast guard beach under a log in a fort	coast guard beach	90
harrison loop trail between island cemetery and beacon hill rd	beacon hill	90
jim gaffney walk by fresh pond	fresh pond	90
greenway across from fresh pond	fresh pond	90
the maze (north of clay head trail) in a hollowed tree limb	clay head trail	90
west beach in a tire	west beach	90
rodman's hollow behind a trail sign	rodman's hollow	90
greenway trail by horse farm	greenway	90
vaill beach trail	vaill beach	90
end of win dodge in stone wall heading out to dickens farm road	win dodge	90
rodman hollow near black rock path	rodman hollow	90
jones trail rodman's hollow	rodman's hollow	90
fresh pond reserve	fresh pond	90
rothman's hollow	rodman's hollow	90
"trail off west side rd., heading into rodman's hollow"	rodman's hollow	90
fresh pond greenway	fresh pond	90
"rodman's hollow, at intersection of coastal trail"	rodman's hollow	90
jones trail in rodman's hollow	rodman's hollow	90
fresh pond greenway in depression in tree	fresh pond	90
rodman's hollow short loop at the base of a tree	rodman's hollow	90
n end of fresh pond	fresh pond	90
rodman hollow-jones trail	rodman hollow	90
greenway trail: in a stone wall	greenway	90
rock wall rodman's hollow	rodman's hollow	90
between vail beach and mohegan bluffs in the seaweed	mohegan bluffs	90
indian cemetary	'indian' cemetery	90
site of the spring street pump house plaque	spring street	90
mohegan trail/pilot hill intersection in a tree	mohegan trail	90
rodman's hollow trailhead	rodman's hollow	90
in wall at hodge preserve	hodge preserve	90
fresh pond rock wall	fresh pond	90
greenway trail off old mill road under the steps going over the rock wall	greenway trail	90
short trail off of beach avenue	beach avenue	90
drift wood coast guard beach	coast guard beach	90
592 old mill road trail	old mill road	90
meadow hill greenway	greenway	90
square stone wall in greenway off cooneymus rd	greenway	90
"win dodge, in tree by trail sign"	win dodge	90
greenway trail off of beacon hill rd	beacon hill	90
access path to scotch beach	scotch beach	90
sacred labrynth	sacred labyrinth	90
"greenway trail, 20 yards east of lakeside drive"	greenway	90
inside muffler at beach on west beach rd	west beach	90
nathan mott trail above the trail marker map	mott trail	90
entrance to payne farm trail	payne farm trail	90
black rock	black rock beach	90
on beach to the left off path from andy's way	andy's way	90
greenway trail off payne rd	greenway	90
near lewis-dickens farm sign	lewis-dickens farm	90
comings greenway	greenway	90
win dodge preserve (in rock wall near foundation)	win dodge	90
win dodge in the wall	win dodge	90
school	block island public school	90
win dodge presv.	win dodge	90
path to west beach (breed's lot)	west beach	90
trail off pilot hill road	pilot hill road	90
wedged in dune fencing at edge of second mohegan bluffs	mohegan bluffs	90
brick chimney on west beach	west beach	90
"west beach, northern section"	west beach	90
in stone wall on greenway off beacon hill rd.	beacon hill	90
marsh trail off beacon hill road	beacon hill	90
enchanted forest/old mill behind a tree	enchanted forest	90
crescent beach access- north of benson	crescent beach	90
enchanted forest (near beacon hill trail in hollowed out tree trunk)	beacon hill	90
mohegan bluffs overlook behind bike rack	mohegan bluffs	90
hyland trail deadend	hyland trail	90
state beach	block island state beach	90
meadow hill greenway trail	greenway	90
"wrack line, cow cove"	cow cove	90
turnip farm parking lot puddle	turnip farm	90
dingy beach in great salt pond	great salt pond	90
rodman's hollow by loop trail	rodman's hollow	90
our bike helmet at the fresh swamp trail- someone so kind left it for us!!!so	fresh swamp	90
in a tree on a walking path off beach avenue	beach avenue	90
sunfish at andy's way	andy's way	90
turnip farm trail off of old mill road	old mill road	90
greenway off of cooneymas	greenway	90
greenway trail off of lakeshore drive	greenway	90
"rodman's hollow, in a tree"	rodman's hollow	90
greenway trail between beacon hill rd. & old mill rd.	beacon hill	90
